Algorithm,Array Size,Input Case,Time (seconds),Memory (KB)
Tim Sort (Built-in),10000,Best,0.000147,0.05
Tim Sort (Built-in),10000,Random,0.003074,39.07
Tim Sort (Built-in),10000,Worst,0.001487,39.09
Tim Sort (Built-in),100000,Best,0.001403,0.05
Tim Sort (Built-in),100000,Random,0.040925,390.49
Tim Sort (Built-in),100000,Worst,0.010189,390.49
Tim Sort (Built-in),1000000,Best,0.008099,0.05
Tim Sort (Built-in),1000000,Random,0.21938,3906.04
Tim Sort (Built-in),1000000,Worst,0.046038,3906.04
Tournament Sort,1000,Best,0.004956,16.54
Tournament Sort,1000,Random,0.027203,16.54
Tournament Sort,1000,Worst,0.019833,16.54
Tournament Sort,10000,Best,0.141001,161.38
Tournament Sort,10000,Random,0.146044,161.38
Tournament Sort,10000,Worst,0.139521,161.38
Tournament Sort,100000,Best,1.544081,1563.54
Tournament Sort,100000,Random,1.777726,1563.54
Tournament Sort,100000,Worst,2.076674,1563.54
Tournament Sort,1000000,Best,20.209679,16063.29
Tournament Sort,1000000,Random,22.521013,16063.29
Tournament Sort,1000000,Worst,27.377213,16063.29
Tournament Sort (Alt),1000,Best,0.000906,16.48
Tournament Sort (Alt),1000,Random,0.001018,16.48
Tournament Sort (Alt),1000,Worst,0.00018,16.48
Tournament Sort (Alt),10000,Best,0.00996,161.33
Tournament Sort (Alt),10000,Random,0.012747,161.33
Tournament Sort (Alt),10000,Worst,0.009616,161.33
Tournament Sort (Alt),100000,Best,0.02462,1563.48
Tournament Sort (Alt),100000,Random,0.080062,1563.48
Tournament Sort (Alt),100000,Worst,0.047629,1563.48
Tournament Sort (Alt),1000000,Best,0.331914,16063.23
Tournament Sort (Alt),1000000,Random,1.189695,16063.23
Tournament Sort (Alt),1000000,Worst,0.268154,16063.23
Tree Sort,1000,Best,0.069275,102.91
Tree Sort,1000,Random,0.0131,89.32
Tree Sort,1000,Worst,0.125052,88.95
Tree Sort,10000,Best,5.233522,1054.76
Tree Sort,10000,Random,0.060716,862.95
Tree Sort,10000,Worst,8.064961,862.38
Tree Sort,100000,Best,Recursion Limit,N/A
Tree Sort,100000,Random,0.474426,8597.51
Tree Sort,100000,Worst,Recursion Limit,N/A
Tree Sort,1000000,Best,Recursion Limit,N/A
Tree Sort,1000000,Random,6.569438,85941.41
Tree Sort,1000000,Worst,Recursion Limit,N/A
